State,Rank,Make/Model,Model Year,Thefts
Hawaii,10,Dodge Pickup (Full Size),2001,37
Arkansas,6,Nissan Altima,2015,89
Vermont,1,Chevrolet Pickup (Full Size),2001,15
Virginia,2,Ford Pickup (Full Size),2004,205
Kentucky,10,Chevrolet Pickup (Small Size),2000,79
Iowa,8,Toyota Camry,1997,59
North Carolina,5,Toyota Camry,2014,291
Idaho,7,Ford Explorer,2002,22
Washington,6,Subaru Legacy,1996,599
Oregon,9,Honda CR-V,1999,158
Alaska,1,Chevrolet Pickup (Full Size),2003,147
Idaho,8,Toyota Camry,1997,19
New Hampshire,2,Honda Accord,1996,20
Indiana,6,GMC Pickup (Full Size),1995,192
North Dakota,6,Honda Accord,1990,23
Tennessee,6,GMC Pickup (Full Size),1996,201
Indiana,8,Pontiac Grand Prix,2004,183
North Dakota,4,GMC Pickup (Full Size),2006,37
District Of Columbia,8,Chevrolet Pickup (Full Size),1999,41
Connecticut,1,Honda Accord,1997,534
Rhode Island,7,Ford Pickup (Full Size),2003,36
Michigan,10,Ford Fusion,2014,355
New Mexico,7,Jeep Cherokee/Grand Cherokee,1994,149
North Dakota,8,Chevrolet Pickup (Small Size),1999,18
New York,1,Honda Accord,1997,724
Nebraska,6,Jeep Cherokee/Grand Cherokee,1999,70
Wyoming,5,Dodge Durango,2002,9
Connecticut,10,Acura TL,2003,76
Ohio,10,Dodge Pickup (Full Size),2005,297
Illinois,3,Honda Civic,2000,566
South Carolina,9,Nissan Altima,2015,155
Maine,6,Honda Civic,2009,11
Vermont,2,Honda Accord,2002,8
Kentucky,4,Chevrolet Impala,2005,118
New Jersey,8,Toyota Camry,2014,232
Texas,7,Chevrolet Tahoe,2004,1148
Arkansas,7,Toyota Camry,2013,82
New Hampshire,9,Toyota Corolla,1999,9
Georgia,4,Honda Civic,2000,653
Vermont,4,Subaru Legacy,1999,6
Maine,5,Toyota Corolla,2009,13
Texas,8,Toyota Camry,2014,1030
Maryland,2,Honda Accord,2008,675
Louisiana,5,Dodge Pickup (Full Size),2003,222
Nevada,1,Honda Accord,1996,1048
Rhode Island,4,Nissan Maxima,2000,45
Colorado,2,Honda Accord,1997,1167
Arizona,2,Honda Civic,1998,1016
Iowa,9,Pontiac Grand Prix,1999,56
Vermont,3,Hyundai Elantra,2015,7
Arizona,3,Chevrolet Pickup (Full Size),2004,850
Minnesota,3,Chevrolet Pickup (Full Size),1999,329
