State,Rank,Make/Model,Model Year,Thefts
Tennessee,9,Jeep Cherokee/Grand Cherokee,2000,178
California,1,Honda Accord,1996,28345
Alaska,7,Ford Explorer,1994,31
Florida,1,Ford Pickup (Full Size),2006,2070
Georgia,10,Dodge Caravan,2002,425
Vermont,5,GMC Pickup (Full Size),2007,5
South Dakota,3,Chevrolet Impala,2004,24
Maryland,10,Hyundai Sonata,2013,169
West Virginia,6,Toyota Camry,2014,20
New Mexico,1,Honda Civic,1998,572
Louisiana,8,Chevrolet Impala,2008,177
Wisconsin,6,Dodge Stratus,2002,209
Wyoming,4,Jeep Cherokee/Grand Cherokee,2000,10
North Carolina,9,Toyota Corolla,2014,190
California,10,Honda CR-V,1999,2033
Montana,9,Toyota Camry,2015,23
Maine,7,Chevrolet Impala,2000,8
Nevada,4,Ford Pickup (Full Size),2006,279
Alabama,99,Chevrolet Pickup (Full Size),2005,499
California,8,Nissan Sentra,1997,2555
New Mexico,6,GMC Pickup (Full Size),2006,180
South Dakota,1,Chevrolet Pickup (Full Size),1994,52
Virginia,4,Toyota Camry,2014,181
Colorado,9,Toyota Camry,1989,203
Idaho,6,GMC Pickup (Full Size),1992,32
Washington,7,Chevrolet Pickup (Full Size),1999,562
Hawaii,9,Nissan Altima,2004,42
Louisiana,9,GMC Yukon,2003,125
Florida,7,Chevrolet Pickup (Full Size),2015,786
Montana,10,Ford Pickup (Small Size),2000,22
Massachusetts,3,Toyota Camry,2014,260
New Hampshire,6,Ford Focus,2007,14
Georgia,1,Honda Accord,1997,1052
Virginia,9,Jeep Cherokee/Grand Cherokee,2001,107
South Carolina,10,Ford Explorer,2002,146
Washington,4,Acura Integra,1994,640
New Jersey,9,Nissan Maxima,1998,195
North Carolina,2,Ford Pickup (Full Size),2004,424
North Carolina,4,Honda Civic,2000,350
Wyoming,7,Chevrolet Cavalier,2003,6
New Jersey,1,Honda Accord,1997,844
Wyoming,4,GMC Pickup (Full Size),2007,10
District Of Columbia,9,Chrysler 300/300M,2005,40
Ohio,5,Chevrolet Impala,2007,441
Virginia,10,Chevrolet Impala,2006,105
Nebraska,7,Chevrolet Impala,2006,68
Alabama,9,Ford Explorer,2002,119
Georgia,5,Toyota Camry,2014,568
New Mexico,9,Chevrolet Pickup (Small Size),1998,101
Maine,4,Ford Pickup (Full Size),2004,15
Montana,3,Dodge Pickup (Full Size),2006,78
