State,Rank,Make/Model,Model Year,Thefts
Idaho,4,Honda Civic,1996,52
Wyoming,3,Dodge Pickup (Full Size),2004,13
Virginia,6,Chevrolet Pickup (Full Size),2003,144
Indiana,4,Dodge Pickup (Full Size),2001,263
California,6,Acura Integra,1994,4273
North Carolina,7,Jeep Cherokee/Grand Cherokee,1999,203
Colorado,3,Ford Pickup (Full Size),2005,595
South Carolina,3,Chevrolet Pickup (Full Size),2004,455
Indiana,5,Chevrolet Malibu,2005,238
North Dakota,2,Ford Pickup (Full Size),1997,101
Georgia,7,Nissan Altima,2014,484
Hawaii,5,Toyota Corolla,2004,64
Alabama,7,Dodge Pickup (Full Size),1998,138
Maine,7,Ford Focus,2001,8
New Mexico,8,Toyota Camry,1999,128
North Carolina,1,Honda Accord,1997,609
Pennsylvania,2,Honda Civic,1998,539
New York,7,Nissan Maxima,1998,328
Colorado,7,Subaru Legacy,1996,215
Illinois,7,Ford Pickup (Full Size),2006,392
California,3,Chevrolet Pickup (Full Size),2006,6048
Louisiana,2,Ford Pickup (Full Size),2006,584
West Virginia,7,Ford Taurus,1995,19
Kansas,5,Dodge Pickup (Full Size),2001,160
Nevada,5,Toyota Camry,2015,254
Alabama,6,GMC Pickup (Full Size),1999,152
Kansas,2,Ford Pickup (Full Size),2003,415
Delaware,7,Ford Taurus,2002,22
Massachusetts,8,Jeep Cherokee/Grand Cherokee,1999,143
West Virginia,8,GMC Pickup (Full Size),2011,18
Delaware,3,Chevrolet Pickup (Full Size),2005,36
Oklahoma,3,Dodge Pickup (Full Size),2001,419
Wisconsin,1,Dodge Caravan,2002,1035
Hawaii,1,Honda Civic,2000,250
District Of Columbia,4,Toyota Camry,2014,95
Iowa,5,Ford Taurus,2003,77
Iowa,6,Jeep Cherokee/Grand Cherokee,2005,65
Vermont,5,Nissan Sentra,2012,5
North Dakota,1,Chevrolet Pickup (Full Size),2002,127
Ohio,8,Honda Civic,2000,325
Montana,1,Chevrolet Pickup (Full Size),1999,165
Maine,1,Chevrolet Pickup (Full Size),2001,29
South Dakota,7,Jeep Cherokee/Grand Cherokee,1999,17
Kentucky,6,Honda Accord,1997,108
Alaska,6,Dodge Pickup (Full Size),1998,44
Mississippi,8,Dodge Pickup (Full Size),2005,85
Idaho,8,Jeep Cherokee/Grand Cherokee,1997,19
Arkansas,1,Chevrolet Pickup (Full Size),2004,402
Ohio,2,Chevrolet Pickup (Full Size),1999,579
Nevada,6,Nissan Maxima,1997,208
New Mexico,3,Honda Accord,1994,545
