State,Rank,Make/Model,Model Year,Thefts
Hawaii,7,Toyota 4Runner,1997,45
Maine,5,Toyota Camry,1996,13
Pennsylvania,10,Chevrolet Malibu,2015,159
Pennsylvania,7,Toyota Corolla,2014,210
Texas,4,Honda Accord,1997,1626
Oklahoma,5,Honda Civic,1998,292
Rhode Island,1,Honda Accord,1997,101
New Mexico,2,Ford Pickup (Full Size),2006,557
Hawaii,4,Toyota Tacoma,2003,86
Louisiana,3,GMC Pickup (Full Size),2006,253
Illinois,2,Chevrolet Impala,2008,579
Delaware,2,Honda Accord,2004,43
Georgia,6,Chevrolet Impala,2008,512
Missouri,7,Honda Accord,1997,274
Wyoming,2,Ford Pickup (Full Size),2000,29
Arizona,6,Nissan Altima,2015,269
Tennessee,5,Chevrolet Impala,2007,213
Kansas,4,Honda Civic,2000,220
Pennsylvania,5,Nissan Altima,2015,261
Alabama,4,Chevrolet Impala,2004,191
Utah,4,Ford Pickup (Full Size),2006,238
New Hampshire,8,Jeep Cherokee/Grand Cherokee,2000,11
South Carolina,6,Honda Civic,2000,176
Colorado,5,Chevrolet Pickup (Full Size),2000,450
Kansas,7,Chevrolet Impala,2004,98
Kansas,8,Dodge Caravan,2002,89
Kansas,8,Jeep Cherokee/Grand Cherokee,2000,89
Virginia,7,Toyota Corolla,2013,140
Missouri,1,Ford Pickup (Full Size),2004,880
New Mexico,4,Chevrolet Pickup (Full Size),2006,483
Iowa,4,Dodge Pickup (Full Size),2004,93
Montana,5,Honda Accord,1994,52
Nebraska,3,Honda Civic,1997,165
Oregon,5,Toyota Camry,1990,221
Nebraska,10,Chevrolet Pickup (Small Size),1998,43
Pennsylvania,6,Chevrolet Impala,2006,224
Minnesota,7,Chevrolet Impala,2004,171
South Dakota,4,Dodge Pickup (Full Size),2001,23
Connecticut,4,Nissan Altima,1997,143
California,9,Nissan Altima,1997,2281
Utah,3,Subaru Legacy,1996,262
West Virginia,5,Chevrolet Impala,2006,24
Oregon,1,Honda Accord,1994,1491
Oklahoma,4,GMC Pickup (Full Size),1994,304
Massachusetts,7,Nissan Altima,2005,156
Virginia,1,Honda Accord,2002,266
Kansas,9,Chevrolet Pickup (Small Size),1998,88
West Virginia,9,Chevrolet Cavalier,2002,17
Maryland,7,Toyota Corolla,2014,204
Mississippi,9,Chevrolet Malibu,2015,73
New York,2,Honda Civic,1998,707
