State,Rank,Make/Model,Model Year,Thefts
Minnesota,2,Honda Accord,1997,524
New York,8,Honda CR-V,1997,283
Oregon,7,Acura Integra,1994,209
Mississippi,3,Nissan Altima,2015,128
Arkansas,10,Chevrolet Tahoe,2003,68
Arkansas,8,Chevrolet Impala,2012,76
Virginia,5,Nissan Altima,2015,162
North Dakota,3,Dodge Pickup (Full Size),1998,49
Florida,8,Chevrolet Impala,2015,542
Mississippi,2,Ford Pickup (Full Size),2006,278
Colorado,6,Dodge Pickup (Full Size),2001,308
Montana,4,GMC Pickup (Full Size),2008,55
Iowa,3,Chevrolet Impala,2005,101
District Of Columbia,9,Chevrolet Impala,2013,40
Pennsylvania,8,Chevrolet Pickup (Full Size),2003,203
Missouri,6,Jeep Cherokee/Grand Cherokee,1998,289
Massachusetts,1,Honda Civic,2000,426
California,5,Ford Pickup (Full Size),2006,4504
Washington,1,Honda Accord,1996,3757
Nebraska,8,GMC Pickup (Full Size),2015,61
Wyoming,1,Chevrolet Pickup (Full Size),2007,32
South Dakota,2,Ford Pickup (Full Size),2001,47
North Carolina,10,Ford Explorer,2003,185
Wisconsin,7,Toyota Camry,2007,191
Nevada,8,Nissan Sentra,2014,200
New Hampshire,7,Toyota Camry,1999,13
West Virginia,3,Jeep Cherokee/Grand Cherokee,1996,36
Arkansas,5,Honda Accord,1997,122
Rhode Island,3,Toyota Camry,2014,69
Indiana,1,Ford Pickup (Full Size),2005,659
District Of Columbia,2,Honda Accord,1997,132
South Carolina,4,Ford Crown Victoria,2003,210
Illinois,1,Dodge Caravan,2000,1054
District Of Columbia,1,Dodge Caravan,2002,167
Ohio,7,Chevrolet Malibu,2015,343
Indiana,9,Ford Taurus,2003,182
Maryland,6,Nissan Altima,2013,230
Washington,5,Toyota Camry,1989,602
Hawaii,2,Honda Accord,1994,180
Louisiana,4,Toyota Camry,2007,224
Nebraska,4,Honda Accord,1996,157
Colorado,10,Toyota Corolla,2014,170
Michigan,2,Chevrolet Pickup (Full Size),1999,585
Nebraska,5,Dodge Pickup (Full Size),2001,102
Arizona,1,Honda Accord,1997,1072
South Carolina,2,Honda Accord,1996,458
District Of Columbia,5,Toyota Corolla,2010,70
Maryland,9,Chevrolet Pickup (Full Size),1999,192
Hawaii,6,Toyota Camry,2000,55
Alabama,8,Ford Mustang,2002,122
Massachusetts,10,Chevrolet Pickup (Full Size),2015,95
