State,Rank,Make/Model,Model Year,Thefts
New Mexico,5,Dodge Pickup (Full Size),2003,269
Ohio,4,Jeep Cherokee/Grand Cherokee,2000,467
Tennessee,2,Ford Pickup (Full Size),2004,468
Nevada,3,Chevrolet Pickup (Full Size),2006,377
Arkansas,4,Dodge Pickup (Full Size),1999,127
Oregon,3,Subaru Legacy,1998,377
Kentucky,3,Toyota Camry,1999,178
Tennessee,1,Chevrolet Pickup (Full Size),1997,693
Texas,9,Nissan Altima,2012,957
Delaware,9,Toyota Camry,2012,20
New Hampshire,5,Dodge Caravan,2003,16
Alaska,8,Jeep Cherokee/Grand Cherokee,1999,28
Tennessee,8,Nissan Maxima,1997,188
New Jersey,10,Ford Econoline E350,2003,184
New Jersey,7,Jeep Cherokee/Grand Cherokee,2000,286
Missouri,9,Chevrolet Malibu,2015,243
North Carolina,6,Nissan Altima,2015,249
Oregon,8,Subaru Impreza,1999,171
Connecticut,9,Dodge Caravan,2000,79
Rhode Island,8,Jeep Cherokee/Grand Cherokee,1999,32
New Hampshire,1,Honda Civic,1997,34
Delaware,4,Ford Pickup (Full Size),1999,31
New Hampshire,3,Chevrolet Pickup (Full Size),2002,19
Utah,2,Honda Civic,1998,915
New Jersey,6,Nissan Altima,2014,291
Michigan,7,Chevrolet Malibu,2013,451
Minnesota,4,Ford Pickup (Full Size),2005,246
Texas,3,Dodge Pickup (Full Size),2004,2898
Virginia,3,Honda Civic,2013,200
Illinois,4,Honda Accord,1997,481
Wisconsin,9,Honda CR-V,2000,172
Indiana,7,Honda Accord,1994,186
Nevada,2,Honda Civic,1998,1011
Colorado,8,Acura Integra,1994,208
Mississippi,6,Toyota Camry,2014,94
Utah,1,Honda Accord,1997,938
Maine,3,Jeep Cherokee/Grand Cherokee,2004,18
Pennsylvania,3,Ford Pickup (Full Size),2006,303
Utah,9,Jeep Cherokee/Grand Cherokee,1996,102
Connecticut,3,Nissan Maxima,1998,184
Colorado,1,Honda Civic,1997,1380
Michigan,3,Ford Pickup (Full Size),2006,530
Washington,8,Jeep Cherokee/Grand Cherokee,1994,362
Texas,2,Chevrolet Pickup (Full Size),2004,6158
Maryland,1,Dodge Caravan,2003,727
Delaware,5,Chevrolet Impala,2007,28
Delaware,6,Nissan Altima,2006,23
Michigan,9,Jeep Cherokee/Grand Cherokee,2000,407
Idaho,5,Dodge Pickup (Full Size),2001,45
Minnesota,8,Dodge Caravan,2003,143
Tennessee,4,Nissan Altima,2005,215
